# MLB Redraft Points Rankings
# Rotoballer - Nicklaus Gaut 
# 3/10/2025
Rank,Player
495,Lenyn Sosa
496,Hunter Renfroe
497,Jose Alvarado
498,Yimi Garcia
499,Derek Law
500,Reed Garrett
501,Chase Dollander
502,Yennier Cano
503,Dylan Moore
504,Justin Anderson
505,Alec Marsh
506,Alex Cobb
507,Drake Baldwin
508,Luis Garcia (SP)
509,Mike Tauchman
510,Kyle Hendricks
511,Wilmer Flores
512,Dennis Santana
513,Andy Pages
514,Jordan Beck
515,Alex Vesia
516,Aaron Bummer
517,Luis Gil
518,Taylor Rogers
519,Fernando Cruz
520,Paul Blackburn
521,Triston McKenzie
522,Tony Santillan
523,Anthony Bender
524,Dylan Lee
525,Jared Koenig
526,Garrett Whitlock
527,Garrett Cleavinger
528,Evan Phillips
529,Roman Anthony
530,Bryan Hudson
531,Jose Caballero
532,Masataka Yoshida
533,Trey Sweeney
534,AJ Smith-Shawver
535,Dillon Dingler
536,Tony Gonsolin
537,Kris Bryant
538,Will Vest
539,Mauricio Dubon
540,Jorge Lopez
541,A.J. Minter
542,Ryan Bliss
543,Manuel Rodriguez
544,Justin Turner
545,Pedro Pages
546,Jose Butto
547,Deyvison De Los Santos
548,Hunter Harvey
549,Pavin Smith
550,Albert Suarez
551,Wenceel Perez
552,Ian Hamilton
553,Yuki Matsui
554,Michael Kopech
555,Paul DeJong
556,Javier Baez
557,Hyeseong Kim
558,Ian Anderson
559,Miguel Andujar
560,Paul Sewald
561,Trent Thornton
562,Jhonkensy Noel
563,Tyler Ferguson
564,Colin Holderman
565,Tyler Rogers
566,Hunter Gaddis
567,Jace Jung
568,Kyle Teel
569,JoJo Romero
570,Drew Thorpe
571,Erik Miller
572,Gregory Soto
573,David Fry
574,Matthew Liberatore
575,Tim Herrin
576,Luis Torrens
577,Mark Leiter Jr.
578,Victor Vodnik
579,Fraser Ellard
580,Will Wagner
581,Cade Cavalli
582,Adrian Morejon
583,Emilio Pagan
584,Ryne Stanek
585,Korey Lee
586,Ramon Urias
587,Harrison Bader
588,Oliver Dunn
589,Jose A. Ferrer
590,Dane Dunning
591,Tayler Scott
592,Michael McGreevy
593,Jacob Webb
594,Brock Stewart
